PF_ID,DATE,INVESTED_AMOUNT
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,01-07-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,10-08-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-01-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,25-01-2019,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-09-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,03-01-2022,1448066.83
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,30-09-2021,765261
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-08-2023,8091327.76
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,03-10-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,10-11-2021,1032937.44
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-03-2026,31054266.08
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,29-06-2023,5241470.29
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-07-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,02-09-2025,22286773.05
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,26-03-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-03-2024,13281067.7
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,17-05-2025,20502832.32
MFU0800632740ab44deaccf232a286248c1,29-06-2018,100805.64
MFU0800632740ab44deaccf232a286248c1,12-11-2018,106209.21
MFU0800632740ab44deaccf232a286248c1,19-07-2019,1167097.51
MFU0800632740ab44deaccf232a286248c1,18-12-2023,2767638.35
MFU0800632740ab44deaccf232a286248c1,10-11-2021,1830251.74
MFU0800632740ab44deaccf232a286248c1,24-07-2023,2286847.87
MFU0800632740ab44deaccf232a286248c1,19-04-2020,1442036.31
MFU0800632740ab44deaccf232a286248c1,29-08-2019,1201740.53
MFU0800632740ab44deaccf232a286248c1,16-07-2020,1534232.58
MFU0800632740ab44deaccf232a286248c1,29-09-2020,1596122.71
MFU0800632740ab44deaccf232a286248c1,08-11-2020,1648337.7
MFU0800632740ab44deaccf232a286248c1,17-08-2021,1761652.64
MFU0800632740ab44deaccf232a286248c1,02-05-2022,2039478.74
MFU0800632740ab44deaccf232a286248c1,08-12-2022,2216851.45
MFU0800632740ab44deaccf232a286248c1,26-07-2024,3100759.74
MFU0800632740ab44deaccf232a286248c1,30-04-2025,3590102.46
MFU0800632740ab44deaccf232a286248c1,31-03-2020,1411504.19
MFU0800632740ab44deaccf232a286248c1,20-10-2020,1627193.71
MFU0800632740ab44deaccf232a286248c1,16-01-2023,2226850.94
MFU0800632740ab44deaccf232a286248c1,27-12-2023,2767638.35
MFU0800632740ab44deaccf232a286248c1,23-05-2024,3004882.59
MFU0800632740ab44deaccf232a286248c1,27-12-2024,3299618.3
MFU0800632740ab44deaccf232a286248c1,28-01-2023,2226850.94
MFU0800632740ab44deaccf232a286248c1,09-12-2023,2730618.73
MFU0800632740ab44deaccf232a286248c1,26-01-2024,2814801.09
MFU0800632740ab44deaccf232a286248c1,22-05-2025,3616601.41
MFU0800632740ab44deaccf232a286248c1,26-07-2019,1172334.19
MFU0800632740ab44deaccf232a286248c1,09-05-2022,2049478.23
MFU0800632740ab44deaccf232a286248c1,25-07-2023,2286847.87
MFU0800632740ab44deaccf232a286248c1,06-03-2024,2872103.53
MFU0800632740ab44deaccf232a286248c1,22-09-2025,3858901.78
MFU0800632740ab44deaccf232a286248c1,12-02-2024,2844799.94
MFU0800632740ab44deaccf232a286248c1,06-01-2026,4190285.26
MFU0800632740ab44deaccf232a286248c1,04-12-2025,4076890.92
MFU0800632740ab44deaccf232a286248c1,22-11-2020,1658337.2
MFU0800632740ab44deaccf232a286248c1,25-07-2022,2142855.12
MFU0800632740ab44deaccf232a286248c1,23-07-2025,3750850.87
MFU3a945a415ed447a080596b0f9385e5b8,08-04-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,06-08-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,08-07-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,04-07-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,21-07-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,06-09-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,04-01-2019,50000
MFU3a945a415ed447a080596b0f9385e5b8,04-02-2019,50000
MFU3a945a415ed447a080596b0f9385e5b8,04-05-2019,50000
MFU3a945a415ed447a080596b0f9385e5b8,21-11-2020,239998.77
MFU3a945a415ed447a080596b0f9385e5b8,06-05-2020,204999.94
MFU3a945a415ed447a080596b0f9385e5b8,26-05-2021,269997.46
MFU3a945a415ed447a080596b0f9385e5b8,21-04-2022,798983.53
MFU3a945a415ed447a080596b0f9385e5b8,31-01-2020,60000.04
MFU3a945a415ed447a080596b0f9385e5b8,01-01-2021,244998.59
MFU3a945a415ed447a080596b0f9385e5b8,15-02-2019,50000
MFU3a945a415ed447a080596b0f9385e5b8,26-08-2020,224999.58
MFU3a945a415ed447a080596b0f9385e5b8,26-11-2020,239998.77
MFU3a945a415ed447a080596b0f9385e5b8,25-09-2021,289996.51
MFU3a945a415ed447a080596b0f9385e5b8,08-03-2023,3136293.91
MFU3a945a415ed447a080596b0f9385e5b8,13-04-2023,3186291.41
MFU3a945a415ed447a080596b0f9385e5b8,04-09-2023,3806259.06
MFU3a945a415ed447a080596b0f9385e5b8,19-08-2024,8981958.68
MFU3a945a415ed447a080596b0f9385e5b8,19-07-2020,219999.8
MFU3a945a415ed447a080596b0f9385e5b8,20-07-2020,219999.8
MFU3a945a415ed447a080596b0f9385e5b8,18-01-2021,249998.38
MFU3a945a415ed447a080596b0f9385e5b8,03-03-2022,678989.44
MFU3a945a415ed447a080596b0f9385e5b8,04-07-2022,1392024.81
MFU3a945a415ed447a080596b0f9385e5b8,02-01-2026,11985442.95
MFU3a945a415ed447a080596b0f9385e5b8,08-03-2024,9007385.74
MFU3a945a415ed447a080596b0f9385e5b8,09-03-2020,65000.02
MFU3a945a415ed447a080596b0f9385e5b8,01-03-2021,254998.15
MFU3a945a415ed447a080596b0f9385e5b8,24-02-2022,673989.69
MFU3a945a415ed447a080596b0f9385e5b8,02-09-2022,1452021.86
MFU3a945a415ed447a080596b0f9385e5b8,25-09-2022,1457021.66
MFU3a945a415ed447a080596b0f9385e5b8,10-06-2023,3236288.87
MFU3a945a415ed447a080596b0f9385e5b8,23-08-2023,3761261.98
MFU3a945a415ed447a080596b0f9385e5b8,04-11-2023,8733112.83
MFU3a945a415ed447a080596b0f9385e5b8,17-11-2025,11985442.95
MFU3a945a415ed447a080596b0f9385e5b8,22-08-2020,224999.58
MFU3a945a415ed447a080596b0f9385e5b8,28-04-2022,803983.28
MFU3a945a415ed447a080596b0f9385e5b8,26-03-2023,3186291.41
MFU3a945a415ed447a080596b0f9385e5b8,22-09-2024,8792610.02
MFU3a945a415ed447a080596b0f9385e5b8,21-04-2025,9922958.9
MFU3a945a415ed447a080596b0f9385e5b8,15-12-2025,11985442.95
MFU3a945a415ed447a080596b0f9385e5b8,04-09-2024,8981958.68
MFU3a945a415ed447a080596b0f9385e5b8,04-11-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,10-09-2023,4112244.89
MFU3a945a415ed447a080596b0f9385e5b8,17-04-2022,788984.02
MFU3a945a415ed447a080596b0f9385e5b8,29-01-2025,9492506.33
MFU3a945a415ed447a080596b0f9385e5b8,11-07-2025,11171393.71
MFU122ee06215ae47028524b57d8bccf34f,28-08-2006,20000
MFU122ee06215ae47028524b57d8bccf34f,31-10-2006,20000
MFU122ee06215ae47028524b57d8bccf34f,23-06-2007,20000
MFU122ee06215ae47028524b57d8bccf34f,06-01-2009,55000.01
MFU122ee06215ae47028524b57d8bccf34f,04-02-2010,119999.96
MFU122ee06215ae47028524b57d8bccf34f,11-01-2011,225000.01
MFU122ee06215ae47028524b57d8bccf34f,30-05-2008,20000
MFU122ee06215ae47028524b57d8bccf34f,30-04-2009,75000
MFU122ee06215ae47028524b57d8bccf34f,05-03-2007,20000
MFU122ee06215ae47028524b57d8bccf34f,13-10-2010,195000
MFU122ee06215ae47028524b57d8bccf34f,11-11-2010,204999.98
MFU122ee06215ae47028524b57d8bccf34f,20-02-2011,235000.04
MFU122ee06215ae47028524b57d8bccf34f,29-03-2008,20000
MFU122ee06215ae47028524b57d8bccf34f,19-12-2008,55000.01
MFU122ee06215ae47028524b57d8bccf34f,23-05-2009,79999.99
MFU122ee06215ae47028524b57d8bccf34f,14-05-2010,144999.99
MFU122ee06215ae47028524b57d8bccf34f,04-08-2010,170000.02
MFU122ee06215ae47028524b57d8bccf34f,20-09-2010,190000.02
MFU122ee06215ae47028524b57d8bccf34f,05-10-2010,190000.02
MFU122ee06215ae47028524b57d8bccf34f,12-01-2011,225000.01
MFU122ee06215ae47028524b57d8bccf34f,29-06-2011,280000
MFU122ee06215ae47028524b57d8bccf34f,24-06-2012,400000.08
MFU122ee06215ae47028524b57d8bccf34f,06-12-2012,450000.14
MFU122ee06215ae47028524b57d8bccf34f,17-01-2014,599800.37
MFU122ee06215ae47028524b57d8bccf34f,13-05-2016,959800.48
MFU122ee06215ae47028524b57d8bccf34f,30-12-2016,1591075.95
MFU122ee06215ae47028524b57d8bccf34f,16-12-2008,55000.01
MFU122ee06215ae47028524b57d8bccf34f,03-09-2009,94999.98
MFU122ee06215ae47028524b57d8bccf34f,17-05-2011,264999.99
MFU122ee06215ae47028524b57d8bccf34f,17-01-2013,465000.11
MFU122ee06215ae47028524b57d8bccf34f,02-03-2013,480000.14
MFU122ee06215ae47028524b57d8bccf34f,26-04-2014,649800.42
MFU122ee06215ae47028524b57d8bccf34f,08-09-2014,719800.44
MFU122ee06215ae47028524b57d8bccf34f,18-10-2014,734800.37
MFU122ee06215ae47028524b57d8bccf34f,18-05-2015,839800.25
MFU122ee06215ae47028524b57d8bccf34f,05-03-2017,1651076.01
MFU122ee06215ae47028524b57d8bccf34f,28-09-2016,1501276.44
MFU122ee06215ae47028524b57d8bccf34f,14-04-2009,75000
MFU122ee06215ae47028524b57d8bccf34f,08-06-2010,155000.03
MFU122ee06215ae47028524b57d8bccf34f,08-10-2011,315000.07
MFU122ee06215ae47028524b57d8bccf34f,06-01-2012,340000.1
MFU122ee06215ae47028524b57d8bccf34f,21-02-2013,480000.14
MFU122ee06215ae47028524b57d8bccf34f,17-11-2014,749800.28
MFU122ee06215ae47028524b57d8bccf34f,08-04-2016,949800.31
MFU122ee06215ae47028524b57d8bccf34f,16-07-2010,165000.03
MFU122ee06215ae47028524b57d8bccf34f,27-07-2010,170000.02
MFU122ee06215ae47028524b57d8bccf34f,27-03-2011,249999.99
MFU122ee06215ae47028524b57d8bccf34f,27-10-2011,320000.08
MFU122ee06215ae47028524b57d8bccf34f,12-02-2012,355000.1
MFU122ee06215ae47028524b57d8bccf34f,03-04-2012,370000.11
MFU122ee06215ae47028524b57d8bccf34f,05-09-2012,420000.15
MFU122ee06215ae47028524b57d8bccf34f,03-12-2013,574900.38
MFU122ee06215ae47028524b57d8bccf34f,26-05-2015,839800.25
MFU122ee06215ae47028524b57d8bccf34f,15-07-2016,1441476.55
MFU122ee06215ae47028524b57d8bccf34f,03-11-2016,1531176.08
MFU122ee06215ae47028524b57d8bccf34f,17-03-2017,1681075.65
MFU122ee06215ae47028524b57d8bccf34f,20-03-2017,1681075.65
MFU122ee06215ae47028524b57d8bccf34f,16-05-2015,839800.25
MFU122ee06215ae47028524b57d8bccf34f,05-04-2016,939800.28
MFU122ee06215ae47028524b57d8bccf34f,05-06-2017,1751076.15
MFU122ee06215ae47028524b57d8bccf34f,23-08-2014,709800.38
MFU122ee06215ae47028524b57d8bccf34f,12-09-2017,1861077.5
MFU122ee06215ae47028524b57d8bccf34f,22-09-2017,1861077.5
MFU122ee06215ae47028524b57d8bccf34f,17-11-2017,1921077.35
MFU122ee06215ae47028524b57d8bccf34f,15-04-2018,2071076.92
MFU122ee06215ae47028524b57d8bccf34f,16-05-2018,2101076.91
MFU122ee06215ae47028524b57d8bccf34f,29-07-2018,2161076.99
MFU122ee06215ae47028524b57d8bccf34f,26-04-2019,2431984.11
MFU122ee06215ae47028524b57d8bccf34f,14-05-2019,2461984.19
MFU122ee06215ae47028524b57d8bccf34f,09-06-2019,2491984.17
MFU122ee06215ae47028524b57d8bccf34f,13-08-2019,2551983.88
MFU122ee06215ae47028524b57d8bccf34f,12-09-2019,2581984.06
MFU122ee06215ae47028524b57d8bccf34f,14-09-2019,2581984.06
MFU122ee06215ae47028524b57d8bccf34f,09-12-2019,2671983.97
MFU122ee06215ae47028524b57d8bccf34f,15-02-2020,2731983.61
MFU122ee06215ae47028524b57d8bccf34f,28-07-2020,2881981.99
MFU122ee06215ae47028524b57d8bccf34f,13-12-2020,2788394.85
MFU122ee06215ae47028524b57d8bccf34f,27-03-2021,2878389.47
MFU122ee06215ae47028524b57d8bccf34f,09-04-2021,2908387.94
MFU122ee06215ae47028524b57d8bccf34f,16-08-2021,3028382.56
MFU122ee06215ae47028524b57d8bccf34f,15-09-2021,3058381.53
MFU122ee06215ae47028524b57d8bccf34f,26-09-2021,3058381.53
MFU122ee06215ae47028524b57d8bccf34f,20-12-2021,3148377.45
MFU122ee06215ae47028524b57d8bccf34f,15-02-2022,3208374.44
MFU122ee06215ae47028524b57d8bccf34f,17-05-2022,3263247.1
MFU122ee06215ae47028524b57d8bccf34f,04-07-2022,3293120.02
MFU122ee06215ae47028524b57d8bccf34f,18-06-2023,5386552.95
MFU122ee06215ae47028524b57d8bccf34f,04-07-2023,5386552.95
MFU122ee06215ae47028524b57d8bccf34f,06-09-2023,5746535.28
MFU122ee06215ae47028524b57d8bccf34f,24-12-2023,6451499.3
MFU122ee06215ae47028524b57d8bccf34f,16-04-2024,7156463.39
MFU122ee06215ae47028524b57d8bccf34f,02-02-2025,7943161.77
MFU122ee06215ae47028524b57d8bccf34f,30-05-2025,8787549.52
MFU122ee06215ae47028524b57d8bccf34f,10-12-2025,17497129.91
MFU122ee06215ae47028524b57d8bccf34f,11-03-2018,2041076.73
MFU122ee06215ae47028524b57d8bccf34f,07-09-2019,2561983.94
MFU122ee06215ae47028524b57d8bccf34f,08-04-2022,3238373.36
MFU122ee06215ae47028524b57d8bccf34f,08-01-2024,6461498.84
MFU122ee06215ae47028524b57d8bccf34f,03-03-2024,6796481.43
MFU122ee06215ae47028524b57d8bccf34f,30-11-2024,7783168.73
MFU122ee06215ae47028524b57d8bccf34f,30-11-2025,17497129.91
MFU122ee06215ae47028524b57d8bccf34f,17-12-2021,3148377.45
MFU122ee06215ae47028524b57d8bccf34f,03-06-2022,3263247.1
MFU122ee06215ae47028524b57d8bccf34f,27-05-2017,1741076.07
MFU122ee06215ae47028524b57d8bccf34f,11-12-2021,3148377.45
MFU122ee06215ae47028524b57d8bccf34f,16-08-2024,7543180.59
MFU122ee06215ae47028524b57d8bccf34f,15-06-2025,8867544.38
MFU122ee06215ae47028524b57d8bccf34f,03-11-2025,17412133.84
MFU3de1f779ad8942e2a69b43f7e8f55d23,19-09-2025,273986.35
MFU3de1f779ad8942e2a69b43f7e8f55d23,23-11-2025,2213889.48
MFU3de1f779ad8942e2a69b43f7e8f55d23,31-10-2025,1643917.93
MFU3de1f779ad8942e2a69b43f7e8f55d23,03-01-2026,2483875.94
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-09-2016,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,14-03-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,02-04-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-12-2016,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-05-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,24-06-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,03-10-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-08-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,23-01-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-04-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,09-02-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,27-06-2017,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-03-2019,10000
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-07-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-11-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-12-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-06-2019,137499.94
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,01-12-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,03-09-2021,611361.58
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-10-2022,2101627.26
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,17-09-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,04-02-2023,2211621.78
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-04-2024,13391062.14
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-10-2024,17617413.98
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-07-2019,256422.95
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,27-03-2023,2231620.79
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-03-2023,5231470.8
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,11-08-2024,17532390.62
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,29-03-2025,19422886.4
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,04-12-2025,26469046.91
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,01-08-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-06-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,13-09-2024,17605177.6
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,11-07-2024,17491086.7
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,04-07-2025,21352789.73
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,12-11-2016,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,19-04-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,02-04-2019,14999.99
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,18-06-2019,186422.96
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,26-07-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-07-2019,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,20-07-2021,536075.4
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,31-01-2022,1661649.32
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,07-05-2025,20502832.32
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,08-02-2023,2221621.29
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,11-06-2025,20552829.73
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-06-2019,201422.97
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,02-11-2021,991002.48
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,10-05-2023,5241470.29
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,12-01-2024,12851089.81
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-01-2024,12886087.84
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,28-11-2024,17731254.21
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,29-09-2025,24836645.45
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,18-01-2026,30969534.27
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,27-02-2024,13146074.44
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,12-03-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,26-04-2024,13391062.14
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,22-10-2020,306086.85
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-04-2024,13391062.14
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,30-12-2023,12791092.77
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,05-10-2022,2321616.31
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,13-07-2018,25000.01
MFU7c3ffe67448c4c848ef3dae9eaa0e56c,21-07-2024,17481354.58
MFU0800632740ab44deaccf232a286248c1,01-06-2018,100805.64
MFU0800632740ab44deaccf232a286248c1,26-12-2018,966210.06
MFU0800632740ab44deaccf232a286248c1,15-09-2018,106209.21
MFU0800632740ab44deaccf232a286248c1,24-11-2018,106209.21
MFU0800632740ab44deaccf232a286248c1,28-03-2019,1051185.43
MFU0800632740ab44deaccf232a286248c1,18-09-2019,1231307.18
MFU0800632740ab44deaccf232a286248c1,05-11-2019,1280856.37
MFU0800632740ab44deaccf232a286248c1,04-07-2020,1524233.08
MFU0800632740ab44deaccf232a286248c1,27-10-2021,1824440.4
MFU0800632740ab44deaccf232a286248c1,01-03-2022,1970152.09
MFU0800632740ab44deaccf232a286248c1,14-01-2019,984341.81
MFU0800632740ab44deaccf232a286248c1,26-04-2019,1079893.45
MFU0800632740ab44deaccf232a286248c1,10-09-2019,1221307.17
MFU0800632740ab44deaccf232a286248c1,15-09-2019,1221307.17
MFU0800632740ab44deaccf232a286248c1,04-01-2020,1340924.59
MFU0800632740ab44deaccf232a286248c1,27-01-2021,1684851.13
MFU0800632740ab44deaccf232a286248c1,14-08-2021,1751653.14
MFU0800632740ab44deaccf232a286248c1,28-01-2022,1933706.04
MFU0800632740ab44deaccf232a286248c1,15-03-2022,2004807.78
MFU0800632740ab44deaccf232a286248c1,14-07-2024,3082759.04
MFU0800632740ab44deaccf232a286248c1,27-10-2020,1627193.71
MFU0800632740ab44deaccf232a286248c1,07-06-2025,3672499.03
MFU0800632740ab44deaccf232a286248c1,19-11-2019,1290856.37
MFU0800632740ab44deaccf232a286248c1,11-12-2021,1870849.68
MFU0800632740ab44deaccf232a286248c1,09-01-2022,1907272.8
MFU0800632740ab44deaccf232a286248c1,01-04-2024,2909554.34
MFU0800632740ab44deaccf232a286248c1,20-11-2024,3269620.05
MFU0800632740ab44deaccf232a286248c1,07-07-2022,2118856.35
MFU0800632740ab44deaccf232a286248c1,29-03-2024,2909554.34
MFU0800632740ab44deaccf232a286248c1,04-02-2025,3329616.8
MFU0800632740ab44deaccf232a286248c1,26-08-2023,2616830.58
MFU0800632740ab44deaccf232a286248c1,06-04-2024,2919553.81
MFU0800632740ab44deaccf232a286248c1,08-10-2019,1251007.34
MFU0800632740ab44deaccf232a286248c1,22-11-2022,2206851.95
MFU0800632740ab44deaccf232a286248c1,29-10-2023,2673742.51
MFU0800632740ab44deaccf232a286248c1,12-06-2023,2276848.38
MFU0800632740ab44deaccf232a286248c1,30-01-2021,1684851.13
MFU0800632740ab44deaccf232a286248c1,16-03-2024,2892103.22
MFU3a945a415ed447a080596b0f9385e5b8,07-07-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,26-12-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,26-05-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,05-10-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,11-11-2019,50000
MFU3a945a415ed447a080596b0f9385e5b8,12-09-2020,229999.33
MFU3a945a415ed447a080596b0f9385e5b8,22-07-2022,1397024.6
MFU3a945a415ed447a080596b0f9385e5b8,06-01-2020,55000.02
MFU3a945a415ed447a080596b0f9385e5b8,03-10-2021,289996.51
MFU3a945a415ed447a080596b0f9385e5b8,10-04-2018,50000
MFU3a945a415ed447a080596b0f9385e5b8,05-09-2024,8981958.68
MFU3a945a415ed447a080596b0f9385e5b8,29-09-2019,50000
